neighbourhood_group,room_type,minimum_nights,price
Brooklyn,Entire home/apt,30,110.0
Bronx,Private room,30,71.0
Manhattan,Private room,30,73.0
Manhattan,Private room,30,60.0
Manhattan,Entire home/apt,30,121.0
Manhattan,Entire home/apt,150,120.0
Brooklyn,Private room,30,125.0
Manhattan,Entire home/apt,30,180.0
Manhattan,Entire home/apt,30,179.0
Queens,Private room,30,100.0
Manhattan,Entire home/apt,30,300.0
Manhattan,Entire home/apt,30,193.0
Brooklyn,Private room,30,104.0
Brooklyn,Entire home/apt,30,255.0
Brooklyn,Entire home/apt,30,160.0
Manhattan,Entire home/apt,30,128.0
Queens,Private room,365,184.0
Manhattan,Entire home/apt,30,285.0
Manhattan,Entire home/apt,30,135.0
Queens,Private room,30,95.0
Manhattan,Entire home/apt,30,165.0
Brooklyn,Entire home/apt,30,300.0
Brooklyn,Entire home/apt,30,159.0
Brooklyn,Private room,30,182.0
Manhattan,Entire home/apt,30,338.0
Brooklyn,Entire home/apt,180,129.0
Manhattan,Private room,273,50.0
Brooklyn,Private room,30,85.0
Manhattan,Private room,30,90.0
Brooklyn,Private room,3,93.0
Manhattan,Entire home/apt,30,147.0
Brooklyn,Entire home/apt,30,200.0
Brooklyn,Entire home/apt,30,350.0
Manhattan,Private room,30,150.0
Manhattan,Entire home/apt,30,257.0
Brooklyn,Entire home/apt,30,149.0
Manhattan,Entire home/apt,30,257.0
Brooklyn,Entire home/apt,30,147.0
Brooklyn,Entire home/apt,60,204.0
Brooklyn,Entire home/apt,30,167.0
Manhattan,Entire home/apt,30,300.0
Brooklyn,Entire home/apt,30,143.0
Brooklyn,Entire home/apt,30,134.0
Brooklyn,Entire home/apt,30,134.0
Brooklyn,Entire home/apt,30,156.0
Manhattan,Entire home/apt,30,128.0
Queens,Entire home/apt,30,136.0
Manhattan,Entire home/apt,30,115.0
Brooklyn,Private room,30,57.0
Manhattan,Private room,30,92.0
Brooklyn,Entire home/apt,60,158.0
Manhattan,Entire home/apt,30,75.0
Manhattan,Private room,30,90.0
Manhattan,Private room,30,79.0
Queens,Entire home/apt,30,234.0
Manhattan,Entire home/apt,30,125.0
Brooklyn,Private room,30,119.0
Manhattan,Entire home/apt,90,250.0
Brooklyn,Entire home/apt,30,155.0
Brooklyn,Entire home/apt,30,160.0
Brooklyn,Private room,30,62.0
Brooklyn,Private room,30,400.0
Queens,Entire home/apt,30,110.0
Brooklyn,Entire home/apt,30,125.0
Manhattan,Private room,30,58.0
Manhattan,Entire home/apt,30,304.0
Manhattan,Entire home/apt,30,238.0
Brooklyn,Entire home/apt,30,150.0
Manhattan,Private room,30,87.0
Brooklyn,Entire home/apt,2,190.0
Brooklyn,Private room,30,96.0
Brooklyn,Private room,30,80.0
Brooklyn,Entire home/apt,30,75.0
Brooklyn,Private room,31,55.0
